	node Id
03/1972+4	22
kunsoo park+1	101
spyros c. kontogiannis+1	105
vikram sharma 0001+1	219
11/2008+4	66
general equilibrium.+2	72
separators in graphs.+2	241
ming min li+1	229
peter rossmanith+1	178
further normalization of the data base relational model.+2	23
data reduction for domination in graphs.+2	153
global minimum cuts in surface-embedded graphs.+2	195
ke yi+1	150
gunther heinemann+1	40
camil demetrescu+1	250
ning chen+1	220
predecessor search, string algorithms and data structures.+2	173
chih-wei yi+1	249
rate-monotonic scheduling.+2	190
normalized data base structure: a brief tutorial.+2	30
technical rep. uksc 0060, ibm united kingdom scientific centre+10	13
xi chen+1	94
ibm research report, san jose, california+10	24
compressed pattern matching.+2	124
weighted bipartite matching.+2	210
